O/E/A,Title (EN),Bezeichnung (deutsch),Beschreibung (falls nicht aus externer Ontologie entnommen)/Definition,Grund-/Fachbuch,Attribute,Relationen,UUID,key,anwendbar auf
Entität,EntityA,Entität A,"Bezeichnet die Entität, die links des Operators steht. Diese Entität wird verwendet, um z.B. Restriktionen für Operatoren zu formulieren.",Grundbuch,entity:abstract,,stc://base-0-5/EntityA,entity.stc://base-0-5/EntityA,
Entität,EntityB,Entität B,"Bezeichnet die Entität, die rechts des Operators steht. Diese Entität wird verwendet, um z.B. Restriktionen für Operatoren zu formulieren.",Grundbuch,entity:abstract,,stc://base-0-5/EntityB,entity.stc://base-0-5/EntityB,
Entität,Attribute,Attribut,Bezeichnet ein Attribut,Grundbuch,entity:abstract,,stc://base-0-5/Attribute,entity.stc://base-0-5/Attribute,
,,,,,,,,,
,Allgemeine Akteure,,,,,,,,
Entität,ThePublic,Die Öffentlichkeit,Bezeichnet die abstrakte Idee einer Öffentlichkeit im Sinne von „alle“.,Grundbuch,,,stc://media-0-4/ThePublic,entity.stc://media-0.4/ThePublic,
Entität,TheMedia,Die Medien,Bezeichnet die abstrakte Idee der funktionalen Einheit von etablierten Medien in der Gesellschaft – soziale Medien sind hier explizit ausgeschlossen.,Grundbuch,,,stc://media-0-4/TheMedia,entity.stc://media-0.4/TheMedia,
Entität,TheSocialMedia,Die soziale Medien,"Bezeichnet die abstrakte Idee der Gesamtheit sozialer Medienangebote wie Facebook, Twitter, Instagram, ...",Grundbuch,,,stc://media-0-4/TheSocialMedia,entity.stc://media-0-4/TheSocialMedia,
Entität,ThePolitics,Die Politik,Bezeichnet die abstrakte Idee der funktionalen Einheit von Politik in der Gesellschaft.,Grundbuch,,,stc://media-0-4/ThePolitics,entity.stc://media-0-4/ThePolitics,
Entität,Government,Die Regierung,"Die in einem bestimmten Zeitraum als Regierung tätigen Personen bzw. die funktionale Einheit, welche die Regierungsarbeit erledigt.",Grundbuch,,[Government] <is a> [Institution],stc://media-0-4/Government,entity.stc://media-0-4/Government,
Entität,Opposition,Die Opposition,"Die Gesamtheit der im Parlament sitzenden Volksvertreter, die nicht der Regierung zuzurechnen sind.",Grundbuch,,[Opposition] <is a> [Institution],stc://media-0-4/Opposition,entity.stc://media-0-4/Opposition,
Entität,Citizens,Die Bürger,"Die Gesamtheit der Personen einer Regierungseinheit (Kontinent, Land, Bundesland, Landkreis, …), welche als Bürger der Regierungseinheit anerkannt werden.",Grundbuch,,,stc://media-0-4/Citizens,entity.stc://media-0-4/Citizens,
Entität,Inhabitants,Die Einwohner,"Die Gesamtheit der Personen, die in einem definierten geografischen Raum wohnen.",Grundbuch,,,stc://media-0-4/Inhabitants,entity.stc://media-0-4/Inhabitants,
Entität,Criminals,Kriminelle,"Personen, die geschäftsmäßig Straftaten begehen oder vom Text anderweitig als „Kriminelle“ bezeichnet werden.",Grundbuch,,[Criminals] <is a> [SocialGroup],stc://media-0-4/Criminals,entity.stc://media-0-4/Criminals,
Entität,People,Menschen,"menschliche Lebewesen, Individuen",Grundbuch,,,stc://media-0-4/people,entity.stc://media-0-4/people,
,,,,,,,,,
,Konkrete Akteur/innen und Positionen:,,,,,,,,
Entität,faction vize,Fraktionsvize,Der Fraktionsvize ist die Vertretung des Leiters einer Fraktion in einem demokratisch gewählten Parlament.,Fachbuch,,,stc://media-0-4/faction_vize,entity.stc://media-0-4/faction_vize,
Entität,CDU ,Christlich Demokratische Union (CDU),"Die Christlich Demokratische Union Deutschlands ist eine zwischen 1945 und 1950 gegründete, christdemokratische, konservative und wirtschaftsliberale Partei in Deutschland. Sie wird im politischen Spektrum mitte-rechts verortet.",Fachbuch,,,https://dbpedia.org/page/Christian_Democratic_Union_of_Germany,entity.https://dbpedia.org/page/Christian_Democratic_Union_of_Germany,
