O/E/A,Title (EN),Bezeichnung (deutsch),Beschreibung (falls nicht aus externer Ontologie entnommen)/Definition,Grund-/Fachbuch,Attribute,Relationen,UUID,key,anwendbar auf
Entität,horribly bad,furchtbar/schrecklich,"durch seine Art, Gewalt o. Ä. sehr schlimm, bange Beklemmung erregend",Fachbuch,,,https://www.wikidata.org/wiki/Q4830036,entity.https://www.wikidata.org/wiki/Q4830036,
Entität,not (be) enough,nicht genug (sein),nicht ausreichend,Fachbuch,,,stc://media-0-4/not_(be)_enough,entity.stc://media-0-4/not_(be)_enough,
Entität,(to be) wrong,falsch (sein),wenn etwas nicht (insb. moralisch) richtig ist,Fachbuch,,,https://www.wikidata.org/wiki/Q29485,entity.https://www.wikidata.org/wiki/Q29485,
Entität,possible,möglich,"denkbar, infrage, in Betracht kommend",Fachbuch,,,https://www.wikidata.org/wiki/Q30230067,entity.https://www.wikidata.org/wiki/Q30230067,
Entität,scared,ängstlich,von Angst erfüllt; verängstigt; besorgt,Fachbuch,,,stc://media-0-4/scared,entity.stc://media-0-4/scared,
,,,,,,,,,
,Politische Entitäten (allgemein),,,,,,,,
Entität,appeasement,Appeasement,Politik ständigen Nachgebens gegenüber expansiver oder subversiver Machtpolitik besonders totalitärer Staaten; Beschwichtigungspolitik,Fachbuch,,,https://www.wikidata.org/wiki/Q620737,entity.https://www.wikidata.org/wiki/Q620737,
Entität,Political activity,politische Aktivität,"Handlungen von Politiker/innen, aktives Tun",Fachbuch,,,stc://media-0-4/political_activity,entity.stc://media-0-4/political_activity,
Entität,diplomacy,Diplomatie,Wahrnehmung außenpolitischer Interessen eines Staates durch seine Vertreter im Ausland,Fachbuch,,,https://www.wikidata.org/wiki/Q1889,entity.https://www.wikidata.org/wiki/Q1889,
Entität,agenda,Agenda,"Liste von Gesprächs-, Verhandlungspunkten",Fachbuch,,,https://www.wikidata.org/wiki/Q1758159,entity.https://www.wikidata.org/wiki/Q1758159,
Entität,conquest,Eroberung,das Erobern,Fachbuch,,,"https://www.wikidata.org/wiki/Q1361229
","entity.https://www.wikidata.org/wiki/Q1361229
",
Entität,imperium,Imperium,"riesiger Macht-, Herrschaftsbereich",Fachbuch,,,https://www.wikidata.org/wiki/Q48349,entity.https://www.wikidata.org/wiki/Q48349,
Entität,pretext,Vorwand,"nicht zutreffender, nur vorgegebener, als Ausrede benutzter Grund",Fachbuch,,,https://www.wikidata.org/wiki/Q2534669,entity.https://www.wikidata.org/wiki/Q2534669,
Entität,motivation,Motivation,"Gesamtheit der Beweggründe, Einflüsse, die eine Entscheidung, Handlung o. Ä. beeinflussen, zu einer Handlungsweise anregen",Fachbuch,,,https://www.wikidata.org/wiki/Q644302,entity.https://www.wikidata.org/wiki/Q644302,
Entität,defense,Verteidigung ,"gegen Angriffe schützen; Angriffe von jemandem, etwas abzuwehren versuchen",Fachbuch,,,https://www.wikidata.org/wiki/Q1985622,entity.https://www.wikidata.org/wiki/Q1985622,
Entität,political initiative,politische Initiative (Vorstoß),"Als Initiative bezeichnet man in der Politik erstmalige Schritte, die auf die Behebung eines Missstandes abzielen.",Fachbuch,,,https://www.wikidata.org/wiki/Q15275192,entity.https://www.wikidata.org/wiki/Q15275192,
Entität,hanging section,Hängepartie,"metaphorisch (eigentlich: vorläufig abgebrochene, später fortzusetzende Schachpartie; übertragen: eine vertagte Entscheidung, eine ungewisse, ungeklärte Situation)",Fachbuch,,,https://www.wikidata.org/wiki/Q1241480,entity.https://www.wikidata.org/wiki/Q1241480,
Entität,motion for a resolution,Entschließungsantrag,"Der Entschließungsantrag ist eine parlamentarische Handlungsform, mit der das Parlament seine Position begleitend zu bestimmten Gesetzesvorhaben erklärt und die Regierung auffordert, etwas Bestimmtes beim Vollzug des Gesetzes zu tun. Die Entschließung ist rechtlich nicht verbindlich, sie hat lediglich auffordernden Charakter.",Fachbuch,,,https://www.wikidata.org/wiki/Q1345380,entity.https://www.wikidata.org/wiki/Q1345380,
Entität,debate,Debatte,Erörterung eines Themas im Parlament,Fachbuch,,,https://www.wikidata.org/wiki/Q179875,entity.https://www.wikidata.org/wiki/Q179875,
Entität,attitude,Haltung,"innere [Grund]einstellung, die jemandes Denken und Handeln prägt",Fachbuch,,,stc://media-0-4/attitude,entity.stc://media-0-4/attitude,
Entität,government statement,Regierungserklärung,"offizielle Erklärung, in der eine Regierung ihre Politik/ihren Standpunkt zu bestimmten politischen Fragen darlegt",Fachbuch,,,https://www.wikidata.org/wiki/Q2137739,entity.https://www.wikidata.org/wiki/Q2137739,
Entität,sanction(s),Sanktion(en),"gegen Russland verhängte Sanktionen im Zusammenhang mit dem Russland-Ukraine-Krieg (seit Februar hat die EU mehrere Sanktionspakete gegen Russland verhängt, darunter gezielte restriktive Maßnahmen gegen Einzelpersonen (individuelle Sanktionen), Wirtschaftssanktionen und diplomatische Maßnahmen)",Fachbuch,,,https://www.wikidata.org/wiki/Q32098,entity.https://www.wikidata.org/wiki/Q32098,
Entität,international law,Völkerrecht,"international verbindliches, besonders zwischenstaatliches Recht",Fachbuch,,,https://www.wikidata.org/wiki/Q56450033,#REF!,
Entität,alliance ability,Bündnisfähigkeit,"Bündnisfähigkeit ist die Frage, wie einzelne Staaten im Falle von Einsätzen mit Soldaten verfahren, die sie in integrierte Stäbe und Kommandos von NATO oder EU entsandt haben.",Fachbuch,,,stc://media-0-4/alliance_ability,entity.stc://media-0-4/alliance_ability,
Entität,defensive ability,Verteidigungsfähigkeit,Bereitschaft zur Abwehr (militärischer) Angriffe durch einen Staat,Fachbuch,,,stc://media-0-4/defensive_ability,entity.stc://media-0-4/defensive_ability,
Entität,Third World War,Dritter Weltkrieg,"Der Dritte Weltkrieg ist die Bezeichnung für einen befürchteten, wahrscheinlich als Atomkrieg geführten Krieg, der durch nuklearen Holocaust einen Großteil der Menschheit in relativ kurzer Zeit vernichten könnte.",Fachbuch,,,https://dbpedia.org/page/World_War_III,entity.https://dbpedia.org/page/World_War_III,
,,,,,,,,,
,Verben (allgemein),,,,,,,,
Entität,to stop sb/sth.,jemanden/etwas stoppen,"dafür sorgen, dass etwas aufhört, nicht weitergeht",Fachbuch,,,stc://media-0-4/to_stop_sb/sth.,entity.stc://media-0-4/to_stop_sb/sth.,
Entität,to continue,fortfahren,etwas Begonnenes wieder aufnehmen und weiterführen,Fachbuch,,,stc://media-0-4/to_continue,entity.stc://media-0-4/to_continue,
Entität,mess around with something,sich mit etwas umtreiben,"mit Unruhe, unruhiger Sorge erfüllt sein",Fachbuch,,,stc://media-0-4/mess_around_with_something,entity.stc://media-0-4/mess_around_with_something,
Entität,set a sign,ein Zeichen setzen,"Etwas Bedeutsames in einer ungewöhnlichen, aber allgemein bekannten Weise kommunizieren, so dass es von möglichst vielen Menschen wahrgenommen wird.",Fachbuch,,,stc://media-0-4/set_a_sign,entity.stc://media-0-4/set_a_sign,
Entität,hold a talk,eine Rede halten,"Vortragen einer zuvor erarbeiteten, mündlichen Mitteilung an eine Zuhörerschaft",Fachbuch,,,stc://media-0-4/hold_a_talk,entity.stc://media-0-4/hold_a_talk,
Entität,(be on) course,(auf) Kurs (sein),dieselbe (sich als richtig erwiesene) Vorgehensweise beibehalten,Fachbuch,,,https://www.wikidata.org/wiki/Q1793204,entity.https://www.wikidata.org/wiki/Q1793204,
Entität,pay a high price,einen hohen Preis zahlen,teuer zu stehen kommen,Fachbuch,,,stc://media-0-4/pay_a_high_price,entity.stc://media-0-4/pay_a_high_price,
Entität,secure,sichern,"sicher machen, vor einer Gefahr schützen",Fachbuch,,,stc://media-0-4/secure,entity.stc://media-0-4/secure,
,,,,,,,,,
,Orte/Staaten,,,,,,,,
Entität,Eastern Europe,Osteuropa,östlicher Teil Europas,Grundbuch,,,https://www.wikidata.org/wiki/Q27468,entity.https://www.wikidata.org/wiki/Q27468,
Entität,Mariupol,Mariupol,"Mariupol ist eine Stadt in der Oblast Donezk in der Ukraine, die vor Kriegsbeginn rund 440.000 Einwohner hatte. Die Stadt war historisch eines der wichtigsten Zentren der Griechen in der Ukraine, die bis heute eine wichtige Minderheit in der Stadt sind.",Grundbuch,,,https://dbpedia.org/page/Mariupol,entity.https://dbpedia.org/page/Mariupol,
Entität,Ukraine,Ukraine,Staat im Südwesten Osteuropas,Grundbuch,,,https://dbpedia.org/page/Ukraine,entity.https://dbpedia.org/page/Ukraine,
Entität,Berlin (city),Berlin (Stadt),Hauptstadt der Bundesrepublik Deutschland,Grundbuch,,,https://dbpedia.org/page/Berlin,entity.https://dbpedia.org/page/Berlin,
Entität,Europe,Europa,als Erdteil angesehener westlicher Teil Eurasiens,Grundbuch,,,https://www.wikidata.org/wiki/Q46,entity.https://www.wikidata.org/wiki/Q46,
Entität,Russia,Russland ,nicht amtliche Bezeichnung für: Russische Föderation; Staat in Osteuropa und Asien,Grundbuch,,,https://dbpedia.org/page/Russia,entity.https://dbpedia.org/page/Russia,
Entität,Kiew,Kiew,"Kiew ist die Hauptstadt der Ukraine. Sie liegt zu beiden Seiten des Dnepr und ist für ihre religiöse Architektur, ihre weltlichen Denkmäler und ihre Geschichtsmuseen bekannt. ",Grundbuch,,,https://www.wikidata.org/wiki/Q1899,entity.https://www.wikidata.org/wiki/Q1899,
,,,,,,,,,
,Allgemeine Operatoren,,,,,,,,
Operator,identical,ist identisch mit,"Die Entität A ist identisch der Entität B. Dieser Operator wird benötigt, um im Hintergrundwissen abzulegen, dass eine Entität unterschiedliche UUIDs verwendet.",Grundbuch,–,,stc://base/identical,,
Operator,is a,ist ein/e,"Die Entität A ist ein Element der Klasse, welche durch die Entität B definiert wird.",Grundbuch,–,,stc://base-0-5/is_a,operator.stc://base-0-5/is_a,
Operator,is part of,ist Teil von,Die Entität A gehört zu oder ist eine Teilmenge der von Entität B bezeichneten Menge. Dies kann auch die Zugehörigkeit zu einer sozialen Gruppe beschreiben.,Grundbuch,–,,stc://base-0-5/is_part_of,operator.stc://base-0-5/is_part_of,
Operator,is,hat die Eigenschaft,Die Entität A hat die durch Entität B <is a > [Quality] definierte Eigenschaft.,Grundbuch,,,stc://base-0-5/is,operator.stc://base-0-5/is,
Operator,assign topic,gehört zu,Eine Entität A wird einem Thema B (Klasse:Thema) zugeordnet.,Grundbuch,Operator:Verhältnis,,stc://base-0-5/assign_topic,operator.stc://base-0-5/assign_topic,
Operator,assign context,ordnet zu,Eine Entität A (z.B. ein Ereignis) wird explizit einem Kontext B (z.B. der Vergangenheit) zugeordnet. Bei zeitlichen Zuordnungen bitte den spezifischeren Operator <zeitliche Zuordnung> verwenden,Grundbuch,,[EntityB] <is a> [Context].,stc://base-0-5/assign_context,operator.stc://base-0-5/assign_context,
Operator,assign temporal,zeitliche Zuordnung,"Eine zeitliche Zuordnung eines Ereignisses (Entität A) zu einer Entität B <is a> [TemporalContext].

Vorsicht mit Zeitformen: Wenn keine explizite Zuordnung erfolgt, sondern nur die Vergangenheitsform genutzt wird, ist zur Kennzeichnung des zeitlichen Ablaufs das Attribut *Relation:vergangen zu verwenden.",Grundbuch,,,stc://base-0-5/assign_temporal,operator.stc://base-0-5/assign_temporal,
Operator,is ascribed the schema,wird zugeschrieben das Schema,"Einer Gruppe von Personen (Entität A) wird ein Schema (Entität B, enitity:schema) zugeschrieben.",Grundbuch,,,stc://base-0-5/is_ascribed_the_schema,operator.stc://base-0-5/is_ascribed_the_schema,
Operator,assign spacial,örtliche Zuordnung,Eine örtliche Zuordnung eines Ereignisses (Entität A) zu einer Entität B <is a> [SpacialContext].,Grundbuch,,,stc://base-0-5/assign_spacial,operator.stc://base-0-5/assign_spacial,
Operator,and,und,Die Vereinigungsmenge der Entitäten A und B definiert eine neue Entität → beide Entitäten sind Mengen oder Gruppen.,Grundbuch,Operator:definiert,,stc://base-0-5/and,operator.stc://base-0-5/and,
Operator,simultaneously,zugleich,Definiert eine Situation welche das gleichzeitige Eintreten zweiter Situationen oder Bedingungen (A/B) beschreibt.,Grundbuch,Operator:definiert,,stc://base-0-5/simultaneously,operator.stc://base-0-5/simultaneously,
Operator,share quantitative,Anteil quantitativ,"Dieser Operator wird verwendet, um einen quantitativen Anteil einer Menge als neue Entität zu definieren. Der Anteil wird als Entität A angegeben, z.B. [ein Drittel], die Grundgesamtheit als Entität B, z.B. [Polizisten in Los Angeles]",Grundbuch,Operator:definiert,,stc://base-0-5/share_quantitative,operator.stc://base-0-5/share_quantitative,
Operator,share qualitative,Anteil qualitativ,"Dieser Operator wird verwendet, um eine Teilmenge anhand eines Merkmals (Entität A) zu definieren.",Grundbuch,Operator:definiert,,stc://base-0-5/share_qualitative,operator.stc://base-0-5/share_qualitative,
Operator,share,Anteil,"Der Operator wird verwendet, um einen nicht näher spezifizierten Anteil einer Gruppe (Entität B) zu definieren, die Entität A ist in diesem Fall immer ""unspezifischer Anteil"".",Grundbuch,Operator:definiert,,stc://base-0-5/share,operator.stc://base-0-5/share,
Operator,causes,führt zu,Ein Ereignis A führt zu einem Ereignis B,Grundbuch,Operator:Kausalität,,stc://base-0-5/causes,operator.stc://base-0-5/causes,
Operator,is condition for,ist Bedingung für,Eine Entität A ist eine Voraussetzung für Entität B (oder wird als solche dargestellt),Grundbuch,Operator:Kausalität,,stc://base-0-5/is_condition_for,operator.stc://base-0-5/is_condition_for,
Operator,corresponds to,entspricht,Eine Entität A ist einer Entität B gleichwertig oder gleichartig.,Grundbuch,,,stc://base-0-5/corresponds_to,operator.stc://base-0-5/corresponds_to,
Operator,in schema,folgt dem Schema,"Ein Prozess, eine Tätigkeit oder ein Ablauf folgt einem Schema <is a> [Scheme]",Grundbuch,,,stc://base-0-5/in_schema,operator.stc://base-0-5/in_schema,
Operator,locate in time,zeitliche Zuordnung,Ein Ereignis (A) wird einem Zeitpunkt oder Zeitraum (B) zugeordnet.,Grundbuch,,,stc://base-0-5/locate_in_time,operator.stc://base-0-5/locate_in_time,
Operator,important for,wichtig für,Ein Objekt oder ein Vorhaben ist wichtig oder bedeutsam für eine Person oder eine Gruppe.,Grundbuch,,[EntityB] <is a> [ActingEntity],stc://base-0-5/important_for,operator.stc://base-0-5/important_for,
Operator,specifies,spezifiziert durch,"Eine allgemeine Handlung (Entität A) wird durch einen Kontext (Entität B) spezifiziert, sodass sich eine neue Entität ergibt.",Grundbuch,Operator:definiert,,stc://base-0-5/specifies,operator.stc://base-0-5/specifies,
Operator,has attribute,besitzt das Attribut,Einer Relation oder einer Entität wird ein Attribut zugewiesen.,Grundbuch,,[EntityB] <is a> [stc://base-0-4-dev/Attribute],stc://base-0-5/has_attribute,operator.stc://base-0-5/has_attribute,
Operator,"
does not lead to",führt nicht zu,"Ein Ereignis A führt NICHT zu einem Ereignis B, es besteht kein Zusammenhang zwischen diesen Ereignissen.",Grundbuch,,,stc://base-0-5/does_not_lead_to,operator.stc://base-0-5/does_not_lead_to,
Operator,not needed/required,benötigt nicht,Eine Sache wird nicht benötigt/ist nicht erforderlich für etwas.,Grundbuch,,,stc://base-0-5/not_needed/required,operator.stc://base-0-5/not_needed/required,
Operator,is not a course for,ist keine Ursache für,Ein Ereignis A o.Ä. ist nicht ursächlich für den Eintritt eines Ereignisses B/die Entscheidung einer Person A/...,Grundbuch,,,stc://base-0-5/is_not_a_course_for,operator.stc://base-0-5/is_not_a_course_for,
Operator,unless,wenn nicht,"Ein Ereignis (Entität A) tritt ein, wenn nicht ein anderes Ereignis eintritt (Entität B).",Grundbuch,,,stc://base-0-5/unless,operator.stc://base-0-5/unless,
Operator,convey a feeling,vermittelt Gefühl,"Es wird ein bestimmtes Gefühl an den/die Betrachter*in/Leser*in vermittelt, welches mit der nachfolgenden Entität bestimmt wird.",Grundbuch,,,stc://base-0-5/convey_a_feeling,operator.stc://base-0-5/convey_a_feeling,
Operator,contain(s),enthält/enthalten,Eine Entität A enthält/beinhaltet eine Entität B.,Grundbuch,,,stc://base-0-5/contain(s),operator.stc://base-0-5/contain(s),
Operator,not allowed,darf nicht,"Ein Ereignis darf nicht eintreten, eine Person darf etwas nicht tun (nach Meinung des Aussagenden).",Grundbuch,,,stc://base-0-5/not_allowed,operator.stc://base-0-5/not_allowed,
Operator,require(s),erfordert/erfordern,Entität A macht Entität B nötig.,Grundbuch,,,stc://base-0-5/require(s),operator.stc://base-0-5/require(s),
Operator,hashtag means,Hashtag bedeutet,"Wird im zu kodierenden Text ein Hashtag verwendet, so ist die Bedeutung des Hashtags (inhaltlicher Art) über den Operator <hashtag means> als Hintergrundwissen mit dem Hashtag zu verknüpfen. Ja nach Bedeutung kann Entität B z.B. eine Person oder ein Sachverhalt sein.",Grundbuch,,,stc://media/hashtag_means,operator.stc://media/hashtag_means,
Operator,profile represents,Profil repräsentiert,"Wird eine SNS-Mention verwendet, so ist das über das mit der Mention verbundene Profil über den Operatpr <Profil repräsentiert> festzuhalten.",Grundbuch,,,stc://base-0-5/profile_represents,operator.stc://base-0-5/profile_represents,
Operator,implies,impliziert,"Wird ein Emoji verwendet und wird darüber eine Emotion übermittelt, so wird die durch das Emoji (Entität A) übermittelte Emotion (Entität B) über den Operator <impliziert> kodiert.",Grundbuch,,,stc://base-0-5/implies,operator.stc://base-0-5/implies,
,,,,,,,,,
,Handlungsoperatoren ,(erfordern i.d.R. eine Person/handlungsfähige Institution/... als Entität A oder B),,,,,,,
Operator,does,macht,Ein Akteur (Klasse:Akteur) führt oder führte eine Handlung aus/durch.,Grundbuch,,,stc://base-0-5/does,operator.stc://base-0-5/does,
Operator,tries,versucht,"Ein Akteur (Klasse:Akteur) unternimmt den Versuch, eine Handlung auszuführen.",Grundbuch,,,stc://base-0-5/tries,operator.stc://base-0-5/tries,
Operator,plans,plant,"Ein Akteur (Klasse:Akteur) plant, eine Handlung ausführen.",Grundbuch,,,stc://base-0-5/plans,operator.stc://base-0-5/plans,
Operator,expresses opinion,meint,Eine Person A vertritt eine Meinung oder Position B.,Grundbuch,,,stc://base-0-5/expresses_opinion,operator.stc://base-0-5/expresses_opinion,
Operator,wants,will,"Eine Person möchte, dass eine Handlung oder ein Ereignis stattfindet oder dass ein Ziel angestrebt wird.",Grundbuch,Operator:Meinungsäußerung,,stc://base-0-5/wants,operator.stc://base-0-5/wants,
Operator,wants not,will nicht,"Eine Person möchte vermeiden, dass eine Handlung oder ein Ereignis stattfindet oder dass ein Ziel angestrebt wird.",Grundbuch,Operator:Meinungsäußerung,,stc://base-0-5/wants_not,operator.stc://base-0-5/wants_not,
Operator,has no interest in,hat kein Interesse an,"Eine Person A hat kein Interesse an einer Person B, einem Ereignis A, o.Ä.",Grundbuch,Operator:definiert,,stc://base-0-5/has_no_interest_in,operator.stc://base-0-5/has_no_interest_in,
Operator,impede,verhindern,"Eintritt eines Ereignisses A verhindern, eine Person B von etwas abhalten",Grundbuch,,,stc://base-0-5/impede,operator.stc://base-0-5/impede,
Operator,coordinate/make an arrangement,absprechen,Eine oder mehrere Person(en)/Institution(en) A sprechen sich ab mit einer oder mehreren Person(en)/Institution(en) B.,Grundbuch,,,stc://base-0-5/coordinate/make_an_arrangement,operator.stc://base-0-5/coordinate/make_an_arrangement,
Operator,support,unterstützen,"Eine Person (Entität A) ist einer anderen Person/Institution/... (Entität B) bei etwas behilflich, setzt sich für diese ein.",Grundbuch,,,stc://base-0-5/support,operator.stc://base-0-5/support,
Operator,act,handeln,"Handeln bezeichnet jede menschliche, von Motiven geleitete ziel­gerichtete Tätigkeit, sei es ein Tun, Dulden oder Unterlassen.",Grundbuch,,,stc://base-0-5/act,operator.stc://base-0-5/act,
Operator,to apply for sth.,beantragen,[auf schriftlichem Wege] (die Gewährung von etwas) verlangen,Grundbuch,,,stc://base-0-5/to_apply_for_sth.,operator.stc://base-0-5/to_apply_for_sth.,
Operator,have a right to sth.,ein Recht auf etwas haben,den (legalen) Anspruch auf etwas haben,Grundbuch,,,stc://base-0-5/have_a_right_to_sth.,operator.stc://base-0-5/have_a_right_to_sth.,
Operator,should,soll(en),"etwas soll geschehen, jemand soll etwas tun, ...",Grundbuch,,,stc://base-0-5/should,operator.stc://base-0-5/should,
Operator,finish sth.,beenden,Einen Vorgang o.Ä. beenden/zu Ende bringen.,Grundbuch,,,stc://base-0-5/finish_sth.,operator.stc://base-0-5/finish_sth.,
Operator,travel,reisen,Person A macht eine Reise (Hintergrund offen).,Grundbuch,,,stc://base-0-5/travel,operator.stc://base-0-5/travel,
Operator,let someone get away with sth.,jemandem etwas durchgehen lassen,"Eine Person (Entität A) lässt einer anderen Person (Entität B) eine Handlung durchgehen, die Handlung wird weder beanstandet noch bestraft.",Grundbuch,,,stc://base-0-5/let_someone_get_away_with_sth.,operator.stc://base-0-5/let_someone_get_away_with_sth.,
Operator,not to do sth.,(etwas) nicht tun/machen,Eine Person nimmt eine bestimmte Handlung (Entität B) nicht vor.,Grundbuch,,,stc://base-0-5/not_to_do_sth.,operator.stc://base-0-5/not_to_do_sth.,
Operator,make sth. clear,deutlich machen ,Eine Person (Entität A) verdeutlicht ihren Standpunkt.,Grundbuch,,,stc://base-0-5/make_sth._clear,operator.stc://base-0-5/make_sth._clear,
Operator,test,testet,Ein Akteur probiert etwas aus.,Grundbuch,,,stc://base-0-5/test,operator.stc://base-0-5/test,
Operator,own,besitzt ,Eine Person (Entität A) besitzt (nicht im Rechtssinne) eine Sache o.Ä. (Entität B) als Eigentümer/in.,Grundbuch,,,stc://base-0-5/own,operator.stc://base-0-5/own,
Operator,decide on,beschließt,"Eine politische Institution verabschiedet/beschließt ein Gesetz, Anordnung o.Ä.",Grundbuch,,,stc://base-0-5/decide_on,operator.stc://base-0-5/decide_on,
Operator,hold on to sth.,festhalten (an),Eine Person (Entität A) hält an einem Vorhaben (Entität B) fest.,Grundbuch,,,stc://base-0-5/hold_on_to_sth.,operator.stc://base-0-5/hold_on_to_sth.,
Operator,be(ing) threatened,bedroht sein/werden,"Eine Person (Entität A) wird von einer Person (Entität B) bedroht (im Rechtssinne: Eine Drohung ist im Strafrecht das Inaussichtstellen eines künftigen Übels, auf das das Drohende vorgibt Einfluss nehmen zu können.)",Grundbuch,,,stc://base-0-5/be(ing)_threatened,operator.stc://base-0-5/be(ing)_threatened,
Operator,uses emoji,verwendet Emoji,Ein Akteur nutzt das nachfolgend beschriebene Emoji/Smiley.,Grundbuch,,,stc://base-0-5/uses_emoji,operator.stc://base-0-5/uses_emoji,
Operator,tighten,verschärfen,Eine Maßnahme/Anordnung/Vorgehen/... wird verschärft.,Grundbuch,,,stc://base-0-5/tighten,operator.stc://base-0-5/tighten,
Operator,learn,lernt,Eine Person (Entität A) erlernt eine bestimmte Fähigkeit/Fertigkeit (Entität B).,Grundbuch,,,stc://base-0-5/learn,operator.stc://base-0-5/learn,
Operator,threaten someone,bedrohen,Ein Akteur bedroht einen weiteren Akteur direkt.,Grundbuch,,,stc://base-0-5/threaten_someone,operator.stc://base-0-5/threaten_someone,
Operator,know,wissen,"Ein Akteur verfügt über ein bestimmtes, in Entität B näher zu definierendes Wissen.",Grundbuch,,,stc://base-0-5/know,operator.stc://base-0-5/know,
Operator,warn about sth.,warnt vor,"Ein Akteur (Entität A) warnt vor einem Ereignis, einer Handlung o.Ä. (Entität B).",Grundbuch,,,stc://base-0-5/warn_about_sth.,operator.stc://base-0-5/warn_about_sth.,
Operator,think sth. is right,(etwas) für richtig halten,Ein Akteur (Entität A) hält eine bestimmte Ansicht/Aussage für richtig (subjektiv).,Grundbuch,,,stc://base-0-5/think_sth._is_right,operator.stc://base-0-5/think_sth._is_right,
Operator,have to do sth.,etwas tun müssen,"Ein Akteur sieht sich selbst dazu verpflichtet, eine bestimmte Handlung zwingend vorzunehmen.",Grundbuch,,,stc://base-0-5/have_to_do_sth.,operator.stc://base-0-5/have_to_do_sth.,
Operator,threaten,droht,Ein Akteur (Entität A) droht mit einer Handlung (Entität B).,Grundbuch,,,stc://base-0-5/threaten ,operator.stc://base-0-5/threaten ,
Operator,build,baut,Ein Akteur (Entität A) baut ein Objekt (Entität B).,Grundbuch,,,stc://base-0-5/build,operator.stc://base-0-5/build,
Operator,to hold a speech,eine Rede halten,"Ein Akteur (Entität A, nicht politisch) hält eine Rede.",Grundbuch,,,stc://base-0-5/to_hold_a_speech,operator.stc://base-0-5/to_hold_a_speech,
Operator,stand by someone,(jmd.) zur Seite stehen,"Ein Akteur (Entität A) steht einem anderen Akteur (Entität B) bei, leistet Hilfe.",Grundbuch,,,stc://base-0-5/stand_by_someone,operator.stc://base-0-5/stand_by_someone,
Operator,organize(s),organisiert,"Ein Akteur kümmert sich um Finanzierung, Rahmenbedingungen u.a. dafür, dass ein Ereignis oder ein Tätigkeit stattfinden kann.",Grundbuch,,,stc://base-0-5/organize(s),operator.stc://base-0-5/organize(s),
Operator,lead,(an)führen,Ein Akteur (Entität A) führt eine näher zu konkretisierende Entität B an und leitet diese.,Grundbuch,,,stc://base-0-5/lead,operator.stc://base-0-5/lead,
Operator,report about,berichtet über,Ein Akteur berichtet in einer Publikation über ein Thema oder Ereignis,Fachbuch,,,stc://base-0-5/report_about,operator.stc://base-0-5/report_about,
Operator,vote for,stimmen für,"Eine Person oder Gruppe oder politische Institution votiert in einer politischen Abstimmung für oder gegen einen Vorschlag, Gesetzentwurf, ...",Fachbuch,Operator:Entscheidung,,stc://base-0-5/vote_for,operator.stc://base-0-5/vote_for,
Operator,enforce,erzwingen,"Eine Entität A erzwingt eine Handlung, Entscheidung o.ä. (Entität B).",Fachbuch,,,stc://base-0-5/enforce,operator.stc://base-0-5/enforce,
Operator,meet,trifft,"Eine Person, Delegation, etc. (Entität A) trifft eine andere Person etc. (Entität B)",Fachbuch,,"[stc://base-0-4-dev/EntityA] <is a> [stc://base-0-4-dev/ActingEntity]
[stc://base-0-4-dev/EntityB] <is a> [stc://base-0-4-dev/ActingEntity]",stc://base-0-5/meet,operator.stc://base-0-5/meet,
Operator,meet political,trifft (politisch),Ein politischer Akteur trifft einen anderen politischen Akteur im Rahmen einer institutionalisierten Handlung.,Fachbuch,,"[stc://base-0-4-dev/EntityA] <is a> [stc://base-0-4-dev/ActingEntity]
[stc://base-0-4-dev/EntityB] <is a> [stc://base-0-4-dev/ActingEntity]",stc://base-0-5/meet_political,operator.stc://base-0-5/meet_political,
Operator,claim political,fordert (politisch),Ein politischer Akteur fordert eine Handlung.,Fachbuch,"Operator:Handlung
Operator:Kommunikation","[stc://base-0-4-dev/EntityA] <is a> [stc://base-0-4-dev/ActingEntity]
[stc://base-0-4-dev/EntityB] <is a> [stc://base-0-4-dev/Activity]",stc://base-0-5/claim_political,operator.stc://base-0-5/claim_political,
,,,,,,,,,
,ATTRIBUTE,,,,,,,,
Attribut,attribute:abstract,Attribut:abstrakt,"Das Attribut soll keiner Entität oder Relation zugeordnet werden, es dient nur als Vorlage für konkrete Attribute.",Grundbuch,–,,stc://base-0-5/attribute:abstract,attribute.stc://base-0-5/attribute:abstract,Attribut
Attribut,attribute:limitation,Attribut:Einschränkung,Das Attribut stellt eine Einschränkung der Gültigkeit dar.,Grundbuch,Attribut:abstrakt,,stc://base-0-5/attribute:limitation,attribute.stc://base-0-5/attribute:limitation,Attribut
Attribut,attrbute:require value,Attribut:Wert erforderlich,Das Attribut kann nur gemeinsam mit einem Wert verwendet werden.,Grundbuch,–,,stc://base-0-5/attrbute:require value,attribute.stc://base-0-5/attrbute:require value,Attribut
Attribut,attribute:defines class,Attribut:definiert Klasse,Das Attribute ordnet eine Entität einer abstrakten Klasse zu,Grundbuch,,,stc://base-0-5/attribute:defines class,attribute.stc://base-0-5/attribute:defines class,
Attribut,entity:class,Klasse von Entitäten,"Die Entität beschreibt eine Klasse von Entitäten, z.B. eine soziale Klasse wie [US-Präsidenten]",Grundbuch,,,stc://base-0-5/entity:class,attribute.stc://base-0-5/entity:class,Entität
